Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Reachable,http://daringfireball.net/linked/2015/10/31/the-talk-show-134,http://daringfireball.net/thetalkshow/2015/10/31/ep-134,The Talk Show: ‘Field Sobriety Test’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/31/caldwell-apple-tv,http://www.imore.com/apple-tv-good-here-are-six-ways-it-could-be-even-better,Six Ways Apple TV Could Be Even Better,,,,200
Reachable,http://daringfireball.net/linked/2015/10/31/ibrahim-apple-tv-set,https://medium.com/@abdophoto/apple-wants-to-sell-you-a-television-set-just-not-today-edfa515ec8f6,"Abdel Ibrahim: ‘Apple Wants to Sell You a Television Set, Just Not Today’",,,,200
Reachable,http://daringfireball.net/linked/2015/10/30/warren-apple-tv,http://mashable.com/2015/10/28/apple-tv-review-2015/,Christina Warren’s Apple TV Review,,,,200
Reachable,http://daringfireball.net/linked/2015/10/30/mashtalk,http://mashable.com/2015/10/30/john-gruber-apple-mashtalk/#rao_kFDKosqy,Yours Truly on the MashTalk Podcast,,,,200
Reachable,http://daringfireball.net/linked/2015/10/30/espn-grantland,http://money.cnn.com/2015/10/30/media/espn-suspending-grantland/index.html,ESPN Is Shutting Down Grantland,,,,200
Reachable,http://daringfireball.net/linked/2015/10/29/twitter-tv,http://www.bbc.com/news/technology-34668035,Twitter’s First TV Ad: Incomprehensible,,,,200
Reachable,http://daringfireball.net/linked/2015/10/28/thirst-work-bond,http://www.futilitycloset.com/2015/10/28/thirsty-work/,Thirsty Work,,,,200
Reachable,http://daringfireball.net/linked/2015/10/28/bond-numbers,https://espresso.economist.com/420d6661908eeb91f148b90ecdbe27a5,James Bond by the Numbers,,,,200
Reachable,http://daringfireball.net/linked/2015/10/28/craig-bond-timeout,http://www.timeout.com/london/film/daniel-craig-interview-my-advice-to-the-next-james-bond-dont-be-shit,Daniel Craig on ‘Spectre’ and His Advice to Future Bonds,,,,200
Redirected,http://daringfireball.net/linked/2015/10/28/craig-bond-bull,http://www.redbulletin.com/us/us/culture/daniel-craig-tells-us-what-he-really-thinks-of-bond,Daniel Craig on James Bond,,https://www.redbulletin.com/us/us/culture/daniel-craig-tells-us-what-he-really-thinks-of-bond,,
Reachable,http://daringfireball.net/linked/2015/10/28/ulanoff-schiller,http://mashable.com/2015/10/28/apple-phil-schiller-mac/,Mashable: ‘Inside Apple’s Perfectionism Machine’,,,,200
Redirected,http://daringfireball.net/linked/2015/10/27/google-podcasts,http://officialandroid.blogspot.com/2015/10/podcasters-welcome-to-google-play-music.html,Google’s Podcast Play,,http://officialandroid.blogspot.co.uk/2015/10/podcasters-welcome-to-google-play-music.html,,
Reachable,http://daringfireball.net/linked/2015/10/27/frommer-aapl-q4-2015,http://qz.com/534570/were-live-charting-apples-fourth-quarter-2015-earnings/,Charting Apple’s Fourth-Quarter Results,,,,200
Reachable,http://daringfireball.net/linked/2015/10/27/aapl-q4-2015,http://www.apple.com/pr/library/2015/10/27Apple-Reports-Record-Fourth-Quarter-Results.html,Apple Reports Record Fourth Quarter Results,,,,200
Redirected,http://daringfireball.net/linked/2015/10/27/buzzfeed-sxsw,http://www.buzzfeed.com/tasneemnashrulla/buzzfeed-threatens-to-withdraw-from-sxsw-over-canceled-gamin,BuzzFeed to Withdraw From SXSW Over Canceled Anti-Harassment Gaming Panels,,https://www.buzzfeed.com/tasneemnashrulla/buzzfeed-threatens-to-withdraw-from-sxsw-over-canceled-gamin,,
Reachable,http://daringfireball.net/linked/2015/10/27/state-of-web-type,http://stateofwebtype.com/,State of Web Type,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/27/greenland,http://www.nytimes.com/interactive/2015/10/27/world/greenland-is-melting-away.html?_r=0,Greenland Is Melting Away,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2Finteractive%2F2015%2F10%2F27%2Fworld%2Fgreenland-is-melting-away.html%3F_r%3D3,5,
Reachable,http://daringfireball.net/linked/2015/10/26/df-sponsorships,https://daringfireball.net/feeds/sponsors/,Daring Fireball RSS Feed Sponsorship Openings,,,,200
Redirected,http://daringfireball.net/linked/2015/10/26/chase-pay,http://recode.net/2015/10/26/chase-announces-chase-pay-its-own-digital-wallet/,Chase Pay,,http://www.recode.net/2015/10/26/11620042/chase-announces-chase-pay-its-own-digital-wallet,,
Reachable,http://daringfireball.net/linked/2015/10/26/studio-neat-remote-stand,http://www.studioneat.com/products/remote#product-hero,Studio Neat: Apple TV Remote Stand,,,,200
Reachable,http://daringfireball.net/linked/2015/10/26/kangaroo,http://venturebeat.com/2015/10/26/kangaroo-is-an-amazing-99-windows-10-portable-pc/,Kangaroo: $99 Pocket-Size Windows 10 PC,,,,200
Reachable,http://daringfireball.net/linked/2015/10/26/steve-jobs-bombs,http://variety.com/2015/film/box-office/steve-jobs-flops-1201626243/,‘Steve Jobs’ Bombs at Box Office,,,,200
Reachable,http://daringfireball.net/linked/2015/10/26/facebook-app,https://www.facebook.com/arig/posts/10105815276466163,Facebook Engineering on Excessive Background Activity in Their iOS App,,,,200
Reachable,http://daringfireball.net/linked/2015/10/26/apple-tv-orders,http://www.apple.com/shop/buy-tv/apple-tv/apple-tv-64gb,New Apple TV Orders Start Today,,,,200
Server Problem,http://daringfireball.net/linked/2015/10/24/igloo,http://www.igloosoftware.com/?utm_source=daringfireball&utm_medium=referral&utm_campaign=blog,Igloo,,,,400
Reachable,http://daringfireball.net/linked/2015/10/23/android-authority-iphone-camera,http://www.androidauthority.com/blind-camera-shootout-winner-650299/,Android Authority Blind Camera Shootout Winner: iPhone 6S,,,,200
Reachable,http://daringfireball.net/linked/2015/10/22/airbnb-jwz,https://www.jwz.org/blog/2015/10/airbnb-doubles-down-on-douchebaggery/,Airbnb Doubles Down on Douchebaggery,,,,200
Reachable,http://daringfireball.net/linked/2015/10/22/pc-does-what,http://kensegall.com/2015/10/pc-companies-did-what/,PC Companies Did What?,,,,200
Reachable,http://daringfireball.net/linked/2015/10/22/mossberg-steve-jobs,http://www.theverge.com/2015/10/21/9578921/steve-jobs-movie-review-walt-mossberg,Walt Mossberg: ‘The Steve Jobs I Knew Isn’t in This Movie’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/21/manton-developers,http://www.manton.org/2015/10/a-great-developer-can-come-from-anywhere.html,Manton Reece: ‘A Great Developer Can Come From Anywhere’,,,,200
