Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Redirected,http://daringfireball.net/linked/2015/09/30/google-customer-match,http://adwords.blogspot.com/2015/09/Google-brings-you-closer-to-your-customers.html,Google’s New ‘Customer Match’ for Ads,,http://adwords.blogspot.co.uk/2015/09/Google-brings-you-closer-to-your-customers.html,,
Redirected,http://daringfireball.net/linked/2015/09/30/recode-dorsey-twitter,http://recode.net/2015/09/30/sources-jack-dorsey-to-be-named-permanent-twitter-ceo/,Recode: Jack Dorsey to Be Named Permanent Twitter CEO,,http://www.recode.net/2015/9/30/11619066/sources-jack-dorsey-to-be-named-permanent-twitter-ceo,,
Reachable,http://daringfireball.net/linked/2015/09/30/apple-maps-google-maps,http://www.howtogeek.com/229945/the-new-apple-maps-vs.-google-maps-which-is-right-for-you/,How-To Geek: ‘Apple Maps vs. Google Maps’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/30/panzerino-apple-privacy,http://techcrunch.com/2015/09/29/apple-blows-up-the-concept-of-a-privacy-policy/,Apple Actually Wants You to Read and Understand Its Privacy Policies,,,,200
Reachable,http://daringfireball.net/linked/2015/09/30/evidently,http://ifixit.org/blog/7401/ifixit-app-pulled/,‘Evidently’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/30/ad-blocking-irony,http://time.com/4052033/apple-iphone-ios-9-ad-blockers/,The Success of iOS Ad Blockers Is Not ‘Ironic’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/30/city-paper,http://www.philly.com/philly/news/Philadelphia_City_Paper_to_cease_print_publication.html,Philadelphia City Paper to Cease Print Publication,,,,200
Reachable,http://daringfireball.net/linked/2015/09/30/marketwatch-headline,http://www.marketwatch.com/story/google-unveils-everything-apple-launched-but-cheaper-2015-09-29,"MarketWatch: ‘Google Unveils Everything Apple Launched, Only Cheaper’",,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/09/30/trump-leibovich,http://www.nytimes.com/2015/10/04/magazine/donald-trump-is-not-going-anywhere.html,Donald Trump Is Not Going Anywhere,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F04%2Fmagazine%2Fdonald-trump-is-not-going-anywhere.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/09/30/anandtech-benchmarks-iphone-6s,http://www.anandtech.com/show/9662/iphone-6s-and-iphone-6s-plus-preliminary-results,AnandTech: iPhone 6s and iPhone 6s Plus Preliminary Results,,,,200
