Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count
Reachable,http://daringfireball.net/linked/2016/04/29/procreate,http://procreate.si/,Procreate,,,
Reachable,http://daringfireball.net/linked/2016/04/29/instagram-design,http://www.theverge.com/2016/4/26/11512718/instagram-redesign-black-white,Instagram Is Testing a New Black-and-White Design,,,
Reachable,http://daringfireball.net/linked/2016/04/29/rovi-buys-tivo,http://www.thewrap.com/rovi-acquires-tivo-1-1-billion-dvr/,Rovi Buys TiVo for $1.1 Billion,,,
Reachable,http://daringfireball.net/linked/2016/04/29/icahn-aaple,http://www.cnbc.com/2016/04/28/icahn-we-no-longer-have-a-position-in-apple.html,Carl Icahn Sells His Shares in Apple,,,
Reachable,http://daringfireball.net/linked/2016/04/29/engadget-finally,http://www.engadget.com/2016/04/26/apple-q2-2016-earnings/,Engadget: ‘Apple iPhone Sales and Revenue Finally Decline’,,,
Redirected,http://daringfireball.net/linked/2016/04/27/twitter-ad-problem,http://recode.net/2016/04/27/twitter-is-going-to-have-a-hard-time-fixing-its-ad-problem/,Twitter’s Ad Problem,,http://www.recode.net/2016/4/27/11586476/twitter-is-going-to-have-a-hard-time-fixing-its-ad-problem,
Reachable,http://daringfireball.net/linked/2016/04/27/japanese-iphone-schematics-smart-connector,http://www.macrumors.com/2016/04/27/iphone-7-plus-design-drawings/,"Japanese Magazine Publishes Purported Schematics of Next iPhone, Showing Smart Connector",,,
Reachable,http://daringfireball.net/linked/2016/04/27/girardi-shift,http://espn.go.com/mlb/story/_/id/15389059/joe-girardi-new-york-yankees-ban-shift-baseball,Yankees Manager Joe Girardi Wants MLB to Ban the Shift,,,
Reachable,http://daringfireball.net/linked/2016/04/27/dalrymple-report,http://www.loopinsight.com/2016/04/27/the-dalrymple-report-with-special-guest-john-gruber-2/,Yours Truly on This Week’s Episode of The Dalrymple Report,,,
Reachable,http://daringfireball.net/linked/2016/04/26/this-is-tim,http://www.imore.com/apple-q2-2016-transcript,‘This Is Tim’ Q2 2016,,,
Reachable,http://daringfireball.net/linked/2016/04/26/games-for-apple-watch,https://twitter.com/gruber/status/725081590582394880,Games for Apple Watch,,,
Reachable,http://daringfireball.net/linked/2016/04/26/iphone-se-demand,http://www.macrumors.com/2016/04/26/iphone-se-demand-is-strong/,Demand for iPhone SE Exceeds Apple’s Expectations,,,
Reachable,http://daringfireball.net/linked/2016/04/26/aapl-q2-2016,http://www.apple.com/pr/library/2016/04/26Apple-Reports-Second-Quarter-Results.html,Apple Reports Q2 2016 Results,,,
Reachable,http://daringfireball.net/linked/2016/04/25/encryption-farce,http://www.wsj.com/articles/the-encryption-farce-1461624399,The Encryption Farce,,,
Reachable,http://daringfireball.net/linked/2016/04/25/the-talk-show-152,http://daringfireball.net/thetalkshow/2016/04/25/ep-152,The Talk Show: ‘The Greatest Mic Drop I’ve Ever Seen’,,,
Reachable,http://daringfireball.net/linked/2016/04/25/apple-watch-chan,http://gizmodo.com/my-god-awful-year-with-the-apple-watch-1772724490,Casey Chan on Abandoning His Apple Watch,,,
Redirected,http://daringfireball.net/linked/2016/04/25/mg-rolex-apple-watch,https://500ish.com/a-flop-unlike-any-other-c15545c985b5#.gsyfdz3j0,A Rolex-Sized Flop,,https://500ish.com/a-flop-unlike-any-other-c15545c985b5?gi=e1f8e6fe3b59,
