Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Reachable,http://daringfireball.net/linked/2016/02/29/intercept,https://theintercept.com/2016/02/29/apple-wins-major-court-victory-in-its-battle-against-fbi-in-a-case-similar-to-san-bernardino/,Apple Wins Major Court Victory Against FBI in a Case Similar to San Bernardino,,,,200
Redirected,http://daringfireball.net/linked/2016/02/29/unlikely,http://www.buzzfeed.com/hamzashaban/san-bernardino-survivors-husband-to-judge-terrorist-iphone-u?utm_term=.amN693e0P,San Bernardino Survivor’s Husband to Judge: Terrorist iPhone ‘Unlikely’ to Hold Valuable Information,,https://www.buzzfeed.com/hamzashaban/san-bernardino-survivors-husband-to-judge-terrorist-iphone-u?utm_term=.amN693e0P,,
Reachable,http://daringfireball.net/linked/2016/02/29/wilson-twitter,http://avc.com/2016/02/the-twitter-contradiction/,Fred Wilson: ‘The Twitter Contradiction’,,,,200
Redirected,http://daringfireball.net/linked/2016/02/29/from-the-big-leagues,https://500ish.com/getting-called-up-from-the-big-leagues-b35e9273d886#.hinig5io5,Getting Called Up From the Big Leagues,,https://500ish.com/getting-called-up-from-the-big-leagues-b35e9273d886?gi=ca275cc859d3,,
Reachable,http://daringfireball.net/linked/2016/02/29/washington-post-apple-support,https://www.washingtonpost.com/world/national-security/google-facebook-and-other-powerful-tech-firms-filing-briefs-to-support-apple/2016/02/28/beb05460-de48-11e5-846c-10191d1fc4ec_story.html,The Washington Post on Industry Support for Apple in Encryption Fight,,,,200
Reachable,http://daringfireball.net/linked/2016/02/29/wiskus-apple-music-connect,http://betterelevation.com/connection-failed/,The State of Apple Music Connect,,,,200
Reachable,http://daringfireball.net/linked/2016/02/29/sewell-statement,http://www.theverge.com/2016/2/29/11133266/apple-fbi-judiciary-committee-encryption-statement,Apple’s Statement to Congress on the FBI Warrant Fight,,,,200
Reachable,http://daringfireball.net/linked/2016/02/29/useful-information,http://www.macobserver.com/tmo/article/san-bernardino-pd-iphone-probably-doesnt-have-useful-data,It Doesn’t Matter Whether the San Bernardino iPhone Contains Useful Information,,,,200
Redirected,http://daringfireball.net/linked/2016/02/29/recode-frommer,http://recode.net/2016/02/29/meet-the-new-boss-dan-frommer-is-recodes-editor-in-chief/,Dan Frommer Named Editor in Chief at Recode,,http://www.recode.net/2016/2/29/11588312/meet-the-new-boss-dan-frommer-is-recodes-editor-in-chief,,
Redirected,http://daringfireball.net/linked/2016/02/27/swisher-apple-event,http://recode.net/2016/02/27/remark-your-calendars-apples-product-event-will-week-of-march-21/,Apple Product Event: Monday March 21,,http://www.recode.net/2016/2/27/11588298/remark-your-calendars-apples-product-event-will-week-of-march-21,,
Reachable,http://daringfireball.net/linked/2016/02/26/manuscripts-and-findings,http://nucleobytes.com/df.html,Manuscripts and Findings,,,,200
Reachable,http://daringfireball.net/linked/2016/02/26/trump-libel,http://www.politico.com/blogs/on-media/2016/02/donald-trump-libel-laws-219866,Donald Trump Vows to ‘Open Up’ Libel Laws,,,,200
Reachable,http://daringfireball.net/linked/2016/02/26/android-encryption,http://money.cnn.com/2016/02/25/technology/android-apple-police-encryption/index.html,Most Android Phones Are Not Encrypted,,,,200
Reachable,http://daringfireball.net/linked/2016/02/26/9to5mac-se,http://9to5mac.com/2016/02/26/apple-iphone-se-4-inch-2016/,"9to5Mac: ‘Apple Likely to Drop the “5”, Call New 4-Inch Model the “iPhone SE”’",,,,200
Reachable,http://daringfireball.net/linked/2016/02/26/gogo-email-security,http://blog.erratasec.com/2016/02/early-internet-services-considered.html#.VtCA1eS6FaQ,Gogo Wi-Fi and Email Security,,,,200
Reachable,http://daringfireball.net/linked/2016/02/25/tech-companies-support-apple,http://www.wsj.com/articles/google-facebook-to-support-apple-in-court-1456434617,"Google, Facebook, Twitter, and Microsoft Plan to Support Apple",,,,200
Reachable,http://daringfireball.net/linked/2016/02/25/apple-fbi-motion,https://www.documentcloud.org/documents/2722199-5-15-MJ-00451-SP-USA-v-Black-Lexus-IS300.html,Apple’s Motion to Vacate FBI Order,,,,200
Reachable,http://daringfireball.net/linked/2016/02/25/bass-microsoft,http://www.bloomberg.com/news/articles/2016-02-25/microsoft-says-it-will-file-an-amicus-brief-to-support-apple,Microsoft Will File Amicus Brief Supporting Apple,,,,200
Redirected,http://daringfireball.net/linked/2016/02/25/bradshaw-icloud-encryption,http://www.ft.com/intl/cms/s/0%2Fcd295840-db6c-11e5-98fd-06d75973fe09.html,Apple to Tighten iCloud Backup Encryption,,http://www.ft.com/cms/s/0%2Fcd295840-db6c-11e5-98fd-06d75973fe09.html,,
Reachable,http://daringfireball.net/linked/2016/02/25/davidson-all-writs-act,http://www.newyorker.com/news/amy-davidson/a-dangerous-all-writ-precedent-in-the-apple-case,The Dangerous All Writs Act Precedent in the Apple Encryption Case,,,,200
