Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Reachable,http://daringfireball.net/linked/2016/01/31/the-talk-show-144,http://daringfireball.net/thetalkshow/2016/01/31/ep-144,The Talk Show: ‘Hopped Up on Holiday Juice’,,,,200
Reachable,http://daringfireball.net/linked/2016/01/31/cinephilia-lyndon,http://www.cinephiliabeyond.org/stanley-kubricks-barry-lyndon/,‘All Hail Kubrick’s “Barry Lyndon”’,,,,200
Reachable,http://daringfireball.net/linked/2016/01/30/meh-dot-com,https://meh.com/?utm_source=daringfireball&utm_medium=sponsor&utm_campaign=likewoot,Meh.com,,,,200
Redirected,http://daringfireball.net/linked/2016/01/30/control-center,http://www.512pixels.net/blog/2016/1/the-case-against-control-center,Control Center,,http://512pixels.net/2016/01/the-case-against-control-center/,,
Reachable,http://daringfireball.net/linked/2016/01/29/loopback,http://rogueamoeba.com/loopback/,Loopback 1.0,,,,200
Reachable,http://daringfireball.net/linked/2016/01/29/bbedit-eleven-five,http://www.barebones.com/support/bbedit/current_notes.html,BBEdit 11.5,,,,200
Redirected,http://daringfireball.net/linked/2016/01/29/steven-johnson-max-wage,https://howwegettonext.com/maximum-wage-3e21048fc107#.9bktoo56m,Maximum Wage,,https://howwegettonext.com/maximum-wage-3e21048fc107?gi=c4b4800c23c,,
Reachable,http://daringfireball.net/linked/2016/01/29/paul-thurrott-windows-phone,https://www.thurrott.com/xbox/64268/microsofts-devices-the-good-the-mostly-good-and-the-sad,"Microsoft’s Devices: The Great, the Good, the Unfortunate, and the Invisible",,,,200
Reachable,http://daringfireball.net/linked/2016/01/29/ritchie-iphone-5se,http://www.imore.com/why-apple-would-release-iphone-5se,iPhone 5se and Its Place in the Apple Universe,,,,200
Redirected,http://daringfireball.net/linked/2016/01/28/guardian-apple-recruiting,http://www.theguardian.com/technology/2016/jan/28/apple-quarterly-results-iphone-silicon-valley-developers,Weird Guardian Piece on Apple and Recruiting,,https://www.theguardian.com/technology/2016/jan/28/apple-quarterly-results-iphone-silicon-valley-developers,,
Reachable,http://daringfireball.net/linked/2016/01/28/henson-wilkins,http://www.openculture.com/2012/05/jim_hensons_violent_wilkins_coffee_commercials_1957-1961.html,Jim Henson’s Hilariously Violent Wilkins Coffee Commercials,,,,200
Reachable,http://daringfireball.net/linked/2016/01/28/verge-windows-phone,http://www.theverge.com/2016/1/28/10864034/windows-phone-is-dead,The Verge: ‘Windows Phone Is Dead’; Rest of the World: ‘Duh’,,,,200
Reachable,http://daringfireball.net/linked/2016/01/27/mossberg-twitter,http://www.theverge.com/2016/1/27/10836466/walt-mossberg-twitter-is-too-hard-to-use,Mossberg: ‘Twitter Has Become Secret-Handshake Software’,,,,200
